Crop,Year,Planted_Acreage,Harvested_Acreage,Production,Yield,Price
Corn,1978.00,81.68,71.93,7267.93,101.00,2.25
Corn,1979.00,81.39,72.40,7928.14,109.50,2.52
Corn,1980.00,84.04,72.96,6639.40,91.00,3.11
Corn,1981.00,84.10,74.52,8118.65,108.90,2.50
Corn,1982.00,81.86,72.72,8235.10,113.20,2.55
Corn,1983.00,60.21,51.48,4174.25,81.10,3.21
Corn,1984.00,80.52,71.90,7672.13,106.70,2.63
Corn,1985.00,83.40,75.21,8875.45,118.00,2.23
Corn,1986.00,76.58,68.91,8225.76,119.40,1.50
Corn,1987.00,66.20,59.51,7131.30,119.80,1.94
Corn,1988.00,67.72,58.25,4928.68,84.60,2.54
Corn,1989.00,72.32,64.78,7531.95,116.30,2.36
Corn,1990.00,74.17,66.95,7934.03,118.50,2.28
Corn,1991.00,75.96,68.82,7474.77,108.60,2.37
Corn,1992.00,79.31,72.08,9476.70,131.50,2.07
Corn,1993.00,73.24,62.93,6337.73,100.70,2.50
Corn,1994.00,78.92,72.51,10050.52,138.60,2.26
Corn,1995.00,71.48,65.21,7400.05,113.50,3.24
Corn,1996.00,79.23,72.64,9232.56,127.10,2.71
Corn,1997.00,79.54,72.67,9206.83,126.70,2.43
Corn,1998.00,80.17,72.59,9758.69,134.40,1.94
Corn,1999.00,77.39,70.49,9430.61,133.80,1.82
Corn,2000.00,79.55,72.44,9915.05,136.90,1.85
Corn,2001.00,75.70,68.77,9502.58,138.20,1.97
Corn,2002.00,78.89,69.33,8966.79,129.30,2.32
Corn,2003.00,78.60,70.94,10087.29,142.20,2.42
Corn,2004.00,80.93,73.63,11805.58,160.30,2.06
Corn,2005.00,81.78,75.12,11112.19,147.90,2.00
Corn,2006.00,78.33,70.64,10531.12,149.10,3.04
Corn,2007.00,93.53,86.52,13037.88,150.70,4.20
Corn,2008.00,85.98,78.57,12043.20,153.30,4.06
Corn,2009.00,86.38,79.49,13067.16,164.40,3.55
Corn,2010.00,88.19,81.45,12425.33,152.60,5.18
Corn,2011.00,91.94,83.88,12313.96,146.80,6.22
Corn,2012.00,97.29,87.37,10755.11,123.10,6.89
Corn,2013.00,95.37,87.46,13830.70,158.10,4.46
Corn,2014.00,90.60,83.15,14217.29,171.00,3.70
Corn,2015.00,88.02,80.75,13601.96,168.40,3.61
Corn,2016.00,94.00,86.75,15148.04,174.60,3.36
Corn,2017.00,90.17,82.73,14609.41,176.60,3.36
Corn,2018.00,88.87,81.28,14340.37,176.40,3.61
Corn,2019.00,89.75,81.34,13619.93,167.45,3.56
Corn,2020.00,90.82,82.47,14182.48,171.98,4.20
Sorghum,1926.00,,,,,0.64
Sorghum,1927.00,,,,,0.73
Sorghum,1928.00,,,,,0.70
Sorghum,1929.00,8.83,3.52,49.97,14.20,0.76
Sorghum,1930.00,9.45,3.48,37.56,10.80,0.57
Sorghum,1931.00,10.69,4.44,71.91,16.20,0.30
Sorghum,1932.00,12.07,4.40,66.10,15.00,0.31
Sorghum,1933.00,12.60,4.35,54.39,12.50,0.51
Sorghum,1934.00,14.61,2.40,19.21,8.00,0.87
Sorghum,1935.00,16.49,4.60,57.61,12.50,0.54
Sorghum,1936.00,13.36,2.79,30.27,10.80,0.92
Sorghum,1937.00,13.00,4.92,69.95,14.20,0.51
Sorghum,1938.00,15.56,4.70,67.21,14.30,0.41
Sorghum,1939.00,17.86,4.76,53.28,11.20,0.58
Sorghum,1940.00,21.21,6.37,85.82,13.50,0.49
Sorghum,1941.00,18.80,6.02,113.54,18.90,0.58
Sorghum,1942.00,16.08,5.99,109.65,18.30,0.79
Sorghum,1943.00,17.73,6.89,109.54,15.90,1.14
Sorghum,1944.00,18.46,9.39,184.98,19.70,0.91
Sorghum,1945.00,15.67,6.32,96.06,15.20,1.20
Sorghum,1946.00,14.27,6.67,106.03,15.90,1.40
Sorghum,1947.00,11.28,5.48,93.22,17.00,1.83
Sorghum,1948.00,13.21,7.32,131.38,18.00,1.28
Sorghum,1949.00,11.06,6.60,148.49,22.50,1.13
Sorghum,1950.00,16.06,10.35,233.54,22.60,1.05
Sorghum,1951.00,15.03,8.54,162.86,19.10,1.32
Sorghum,1952.00,12.29,5.33,90.74,17.00,1.58
Sorghum,1953.00,14.59,6.30,115.72,18.40,1.32
Sorghum,1954.00,20.15,11.72,235.58,20.10,1.26
Sorghum,1955.00,23.92,12.89,242.64,18.80,0.97
Sorghum,1956.00,21.38,9.21,204.88,22.20,1.15
Sorghum,1957.00,26.89,19.68,567.51,28.80,0.97
Sorghum,1958.00,20.68,16.52,581.01,35.20,1.00
Sorghum,1959.00,19.51,15.41,555.44,36.10,0.86
Sorghum,1960.00,19.60,15.60,619.95,39.70,0.83
Sorghum,1961.00,14.29,10.99,480.21,43.70,1.01
Sorghum,1962.00,15.06,11.57,510.28,44.10,1.02
Sorghum,1963.00,17.52,13.33,585.39,43.90,0.97
Sorghum,1964.00,16.77,11.74,489.80,41.70,1.05
Sorghum,1965.00,17.08,13.03,672.70,51.60,0.99
Sorghum,1966.00,16.37,12.81,714.99,55.80,1.02
Sorghum,1967.00,18.95,14.99,755.34,50.40,0.99
Sorghum,1968.00,17.79,13.89,731.28,52.60,0.95
Sorghum,1969.00,17.23,13.44,729.92,54.30,1.07
Sorghum,1970.00,16.96,13.57,683.18,50.40,1.14
Sorghum,1971.00,20.55,16.14,868.00,53.80,1.04
Sorghum,1972.00,17.04,13.21,801.35,60.70,1.37
Sorghum,1973.00,18.99,15.70,923.22,58.80,2.14
Sorghum,1974.00,17.59,13.81,622.71,45.10,2.77
Sorghum,1975.00,18.08,15.40,754.35,49.00,2.36
Sorghum,1976.00,18.14,14.47,710.80,49.10,2.03
Sorghum,1977.00,16.64,13.80,780.94,56.60,1.82
Sorghum,1978.00,16.20,13.41,731.27,54.50,2.01
Sorghum,1979.00,15.28,12.90,807.42,62.60,2.35
Sorghum,1980.00,15.64,12.51,579.34,46.30,2.91
Sorghum,1981.00,15.93,13.68,875.84,64.00,2.25
Sorghum,1982.00,16.03,14.14,835.08,59.10,2.47
Sorghum,1983.00,11.88,10.00,487.52,48.70,2.74
Sorghum,1984.00,17.25,15.36,866.24,56.40,2.32
Sorghum,1985.00,18.29,16.78,1120.27,66.80,1.93
Sorghum,1986.00,15.34,13.86,938.87,67.70,1.37
Sorghum,1987.00,11.76,10.53,730.81,69.40,1.70
Sorghum,1988.00,10.34,9.04,576.69,63.80,2.27
Sorghum,1989.00,12.64,11.10,615.42,55.40,2.10
Sorghum,1990.00,10.54,9.09,573.30,63.10,2.12
Sorghum,1991.00,11.06,9.87,584.86,59.30,2.25
Sorghum,1992.00,13.18,12.05,875.02,72.60,1.89
Sorghum,1993.00,9.88,8.92,534.17,59.90,2.31
Sorghum,1994.00,9.79,8.88,645.74,72.70,2.13
Sorghum,1995.00,9.43,8.25,458.65,55.60,3.19
Sorghum,1996.00,13.10,11.81,795.27,67.30,2.34
Sorghum,1997.00,10.05,9.16,633.55,69.20,2.21
Sorghum,1998.00,9.63,7.72,519.93,67.30,1.66
Sorghum,1999.00,9.29,8.54,595.17,69.70,1.57
Sorghum,2000.00,9.20,7.73,470.53,60.90,1.89
Sorghum,2001.00,10.25,8.58,514.04,59.90,1.94
Sorghum,2002.00,9.59,7.13,360.71,50.60,2.32
Sorghum,2003.00,9.42,7.80,411.22,52.70,2.39
Sorghum,2004.00,7.49,6.52,453.61,69.60,1.79
Sorghum,2005.00,6.45,5.74,392.74,68.50,1.86
Sorghum,2006.00,6.52,4.94,276.82,56.10,3.29
Sorghum,2007.00,7.71,6.79,497.45,73.20,4.08
Sorghum,2008.00,8.40,7.31,475.86,65.10,3.20
Sorghum,2009.00,6.60,5.50,381.61,69.40,3.22
Sorghum,2010.00,5.37,4.81,345.46,71.90,5.02
Sorghum,2011.00,5.45,3.95,212.99,54.00,5.99
Sorghum,2012.00,6.26,5.00,247.74,49.60,6.33
Sorghum,2013.00,8.08,6.59,392.33,59.60,4.28
Sorghum,2014.00,7.14,6.40,432.58,67.60,4.03
Sorghum,2015.00,8.46,7.85,596.75,76.00,3.31
Sorghum,2016.00,6.69,6.16,480.26,77.90,2.79
Sorghum,2017.00,5.63,5.04,361.87,71.70,3.22
Sorghum,2018.00,5.69,5.06,364.99,72.10,3.26
Sorghum,2019.00,5.27,4.68,341.46,73.04,3.34
Sorghum,2020.00,5.88,5.10,372.96,73.20,4.70
Barley,1926.00,8.80,7.92,166.03,21.00,0.57
Barley,1927.00,9.51,9.47,239.07,25.30,0.70
Barley,1928.00,12.83,12.74,328.35,25.80,0.59
Barley,1929.00,14.70,13.56,280.64,20.70,0.60
Barley,1930.00,13.58,12.63,301.62,23.90,0.42
Barley,1931.00,13.82,11.18,200.28,17.90,0.35
Barley,1932.00,14.56,13.21,299.39,22.70,0.23
Barley,1933.00,14.20,9.64,152.84,15.90,0.43
Barley,1934.00,12.02,6.58,117.39,17.80,0.64
Barley,1935.00,13.96,12.44,288.67,23.20,0.38
Barley,1936.00,12.84,8.33,147.74,17.70,0.75
Barley,1937.00,12.35,9.97,221.89,22.30,0.55
Barley,1938.00,12.17,10.61,256.62,24.20,0.38
Barley,1939.00,15.51,12.74,278.19,21.80,0.40
Barley,1940.00,15.69,13.53,311.28,23.00,0.39
Barley,1941.00,15.86,14.28,362.57,25.40,0.55
Barley,1942.00,19.69,16.96,429.45,25.30,0.63
Barley,1943.00,17.47,14.90,322.91,21.70,1.00
Barley,1944.00,14.35,12.30,276.28,22.50,1.01
Barley,1945.00,11.75,10.45,266.99,25.50,1.01
Barley,1946.00,11.47,10.38,265.06,25.50,1.38
Barley,1947.00,11.98,10.96,281.87,25.70,1.73
Barley,1948.00,13.06,11.91,315.54,26.50,1.16
Barley,1949.00,11.13,9.87,237.07,24.00,1.06
Barley,1950.00,13.01,11.16,303.77,27.20,1.19
Barley,1951.00,10.79,9.42,257.21,27.30,1.26
Barley,1952.00,9.19,8.24,228.17,27.70,1.37
Barley,1953.00,9.62,8.68,246.72,28.40,1.17
Barley,1954.00,14.74,13.37,379.25,28.40,1.09
Barley,1955.00,16.29,14.52,403.07,27.80,0.92
Barley,1956.00,14.73,12.85,376.66,29.30,0.99
Barley,1957.00,16.40,14.87,442.76,29.80,0.89
Barley,1958.00,16.15,14.79,477.37,32.30,0.90
Barley,1959.00,16.77,14.87,420.20,28.30,0.86
Barley,1960.00,15.53,13.86,429.01,31.00,0.84
Barley,1961.00,15.62,12.81,392.44,30.60,0.98
Barley,1962.00,14.38,12.21,427.73,35.00,0.92
Barley,1963.00,13.45,11.24,392.83,35.00,0.90
Barley,1964.00,11.65,10.28,386.06,37.60,0.95
Barley,1965.00,10.12,9.17,393.06,42.90,1.02
Barley,1966.00,11.18,10.25,392.11,38.30,1.06
Barley,1967.00,10.08,9.23,373.75,40.50,1.01
Barley,1968.00,10.49,9.73,426.15,43.80,0.92
Barley,1969.00,10.29,9.56,427.06,44.70,0.89
Barley,1970.00,10.48,9.71,416.09,42.80,0.97
Barley,1971.00,11.06,10.10,462.42,45.80,0.99
Barley,1972.00,10.57,9.65,421.72,43.70,1.21
Barley,1973.00,11.05,10.30,417.43,40.50,2.14
Barley,1974.00,8.71,7.93,298.67,37.70,2.81
Barley,1975.00,9.37,8.62,379.16,44.00,2.42
Barley,1976.00,9.30,8.44,383.01,45.40,2.25
Barley,1977.00,10.78,9.73,427.78,44.00,1.78
Barley,1978.00,9.99,9.25,454.76,49.20,1.92
Barley,1979.00,8.12,7.53,383.20,50.90,2.27
Barley,1980.00,8.32,7.26,361.14,49.70,2.79
Barley,1981.00,9.62,9.04,473.51,52.40,2.48
Barley,1982.00,9.55,9.01,515.94,57.20,2.18
Barley,1983.00,10.41,9.72,508.27,52.30,2.47
Barley,1984.00,11.93,11.22,598.03,53.30,2.29
Barley,1985.00,13.14,11.59,590.21,50.90,1.98
Barley,1986.00,13.02,11.97,608.53,50.80,1.61
Barley,1987.00,10.93,9.96,521.50,52.40,1.81
Barley,1988.00,9.83,7.64,289.99,38.00,2.80
Barley,1989.00,9.13,8.31,404.20,48.60,2.42
Barley,1990.00,8.22,7.53,422.20,56.10,2.14
Barley,1991.00,8.94,8.41,464.33,55.20,2.10
Barley,1992.00,7.76,7.29,455.09,62.50,2.04
Barley,1993.00,7.79,6.75,398.04,58.90,1.99
Barley,1994.00,7.16,6.67,374.86,56.20,2.03
Barley,1995.00,6.69,6.28,359.38,57.20,2.89
Barley,1996.00,7.09,6.71,392.43,58.50,2.74
Barley,1997.00,6.71,6.20,359.88,58.10,2.38
Barley,1998.00,6.33,5.85,351.57,60.10,1.98
Barley,1999.00,4.98,4.57,272.00,59.50,2.13
Barley,2000.00,5.80,5.20,317.80,61.10,2.11
Barley,2001.00,4.95,4.27,248.33,58.10,2.22
Barley,2002.00,5.01,4.12,226.91,55.00,2.72
Barley,2003.00,5.35,4.73,278.28,58.90,2.83
Barley,2004.00,4.53,4.02,279.74,69.60,2.48
Barley,2005.00,3.88,3.27,211.90,64.80,2.53
Barley,2006.00,3.45,2.95,180.17,61.10,2.85
Barley,2007.00,4.02,3.50,210.11,60.00,4.02
Barley,2008.00,4.24,3.78,239.07,63.30,5.37
Barley,2009.00,3.57,3.11,226.60,72.80,4.66
Barley,2010.00,2.87,2.47,180.24,73.10,3.86
Barley,2011.00,2.56,2.24,154.79,69.10,5.35
Barley,2012.00,3.66,3.27,218.99,66.90,6.43
Barley,2013.00,3.53,3.04,216.75,71.30,6.06
Barley,2014.00,3.03,2.50,181.54,72.70,5.30
Barley,2015.00,3.58,3.16,218.19,69.10,5.52
Barley,2016.00,3.06,2.57,199.91,77.90,4.96
Barley,2017.00,2.49,1.96,143.26,73.00,4.47
Barley,2018.00,2.55,1.98,153.53,77.50,4.62
Barley,2019.00,2.77,2.22,172.50,77.67,4.69
Barley,2020.00,2.62,2.13,165.32,77.51,4.60
Oats,1926.00,43.94,42.85,1152.91,26.90,0.39
Oats,1927.00,40.53,40.35,1093.22,27.10,0.46
Oats,1928.00,40.24,40.13,1312.91,32.70,0.39
Oats,1929.00,40.53,38.15,1112.95,29.20,0.40
Oats,1930.00,42.61,39.85,1274.59,32.00,0.31
Oats,1931.00,44.48,40.19,1124.23,28.00,0.20
Oats,1932.00,45.55,41.70,1254.58,30.10,0.15
Oats,1933.00,43.77,36.53,736.31,20.20,0.33
Oats,1934.00,40.47,29.46,544.25,18.50,0.46
Oats,1935.00,43.60,40.11,1210.23,30.20,0.26
Oats,1936.00,41.93,33.65,792.58,23.60,0.43
Oats,1937.00,39.83,35.54,1176.74,33.10,0.30
Oats,1938.00,39.39,36.04,1089.38,30.20,0.23
Oats,1939.00,38.20,33.46,957.70,28.60,0.31
Oats,1940.00,39.32,35.43,1246.45,35.20,0.30
Oats,1941.00,41.84,38.16,1182.51,31.00,0.41
Oats,1942.00,43.02,38.20,1342.68,35.20,0.48
Oats,1943.00,43.47,38.91,1139.83,29.30,0.71
Oats,1944.00,44.14,39.74,1149.24,28.90,0.69
Oats,1945.00,46.03,41.74,1523.85,36.50,0.65
Oats,1946.00,46.52,42.81,1477.57,34.50,0.81
Oats,1947.00,42.06,37.86,1176.14,31.10,1.04
Oats,1948.00,43.84,39.28,1450.19,36.90,0.72
Oats,1949.00,43.13,37.79,1220.12,32.30,0.66
Oats,1950.00,45.04,39.31,1369.20,34.80,0.79
Oats,1951.00,41.02,35.23,1277.65,36.30,0.82
Oats,1952.00,42.34,37.01,1217.43,32.90,0.79
Oats,1953.00,43.22,37.54,1153.21,30.70,0.74
Oats,1954.00,46.90,40.55,1409.60,34.80,0.71
Oats,1955.00,47.49,39.03,1495.98,38.30,0.60
Oats,1956.00,44.21,33.33,1151.40,34.50,0.69
Oats,1957.00,41.84,34.07,1289.88,37.90,0.61
Oats,1958.00,37.70,31.25,1401.41,44.80,0.58
Oats,1959.00,35.06,27.76,1050.05,37.80,0.65
Oats,1960.00,31.42,26.59,1153.33,43.40,0.60
Oats,1961.00,32.31,23.89,1010.31,42.30,0.64
Oats,1962.00,29.50,22.38,1012.20,45.20,0.62
Oats,1963.00,28.05,21.31,965.51,45.30,0.62
Oats,1964.00,25.63,19.76,852.26,43.10,0.63
Oats,1965.00,24.05,18.52,929.55,50.20,0.62
Oats,1966.00,23.34,17.88,803.32,44.90,0.67
Oats,1967.00,20.72,16.11,793.80,49.30,0.66
Oats,1968.00,23.34,17.71,950.69,53.70,0.60
Oats,1969.00,23.56,17.97,965.86,53.70,0.58
Oats,1970.00,24.41,18.59,915.24,49.20,0.62
Oats,1971.00,21.83,15.71,878.08,55.90,0.60
Oats,1972.00,19.99,13.41,690.62,51.50,0.72
Oats,1973.00,18.61,13.77,659.14,47.90,1.18
Oats,1974.00,17.01,12.61,600.66,47.60,1.53
Oats,1975.00,16.43,13.04,638.96,49.00,1.45
Oats,1976.00,16.62,11.83,540.44,45.70,1.56
Oats,1977.00,17.73,13.49,752.77,55.80,1.09
Oats,1978.00,16.41,11.13,581.66,52.30,1.20
Oats,1979.00,13.96,9.68,526.75,54.40,1.33
Oats,1980.00,13.38,8.66,458.79,53.00,1.72
Oats,1981.00,13.63,9.41,509.53,54.20,1.88
Oats,1982.00,13.95,10.26,592.63,57.80,1.49
Oats,1983.00,20.29,9.06,476.47,52.60,1.62
Oats,1984.00,12.41,8.16,473.66,58.00,1.67
Oats,1985.00,13.24,8.15,518.49,63.60,1.23
Oats,1986.00,14.67,6.84,385.00,56.30,1.21
Oats,1987.00,17.91,6.89,373.71,54.30,1.56
Oats,1988.00,13.91,5.53,217.38,39.30,2.61
Oats,1989.00,12.09,6.88,373.59,54.30,1.49
Oats,1990.00,10.42,5.95,357.65,60.10,1.14
Oats,1991.00,8.65,4.82,243.85,50.60,1.21
Oats,1992.00,7.94,4.50,294.23,65.40,1.32
Oats,1993.00,7.94,3.80,206.73,54.40,1.36
Oats,1994.00,6.64,4.01,228.84,57.10,1.22
Oats,1995.00,6.23,2.95,161.09,54.60,1.67
Oats,1996.00,4.64,2.66,153.25,57.70,1.96
Oats,1997.00,5.07,2.81,167.25,59.50,1.60
Oats,1998.00,4.89,2.75,165.77,60.20,1.10
Oats,1999.00,4.67,2.45,145.63,59.60,1.12
Oats,2000.00,4.47,2.33,149.17,64.20,1.10
Oats,2001.00,4.40,1.91,117.60,61.50,1.59
Oats,2002.00,5.00,2.06,116.00,56.40,1.81
Oats,2003.00,4.60,2.22,144.38,65.00,1.48
Oats,2004.00,4.09,1.79,115.70,64.70,1.48
Oats,2005.00,4.25,1.82,114.86,63.00,1.63
Oats,2006.00,4.17,1.56,93.52,59.80,1.87
Oats,2007.00,3.76,1.50,90.43,60.10,2.63
Oats,2008.00,3.26,1.41,90.05,63.70,3.15
Oats,2009.00,3.35,1.34,91.04,67.90,2.02
Oats,2010.00,3.11,1.27,81.86,64.60,2.52
Oats,2011.00,2.35,0.88,50.13,57.30,3.49
Oats,2012.00,2.70,1.01,61.49,61.20,3.89
Oats,2013.00,2.98,1.01,64.64,64.10,3.75
Oats,2014.00,2.75,1.04,70.23,67.90,3.21
Oats,2015.00,3.09,1.28,89.46,70.20,2.12
Oats,2016.00,2.83,0.98,64.63,66.00,2.06
Oats,2017.00,2.59,0.80,49.59,61.70,2.59
Oats,2018.00,2.75,0.87,56.13,64.90,2.66
Oats,2019.00,2.83,0.83,53.26,64.32,2.82
Oats,2020.00,2.98,1.00,65.36,65.09,2.70
